id,name,lat,lon
584204214e65fad6a7709cb0,Wladyslawowo,54.801,18.408
584204214e65fad6a7709cb3,Rurociag,54.793,18.425
584204214e65fad6a7709cb5,Chalupy,54.769,18.492
6418e1cfa34c33da3b187434,Górki Zachodnie,54.3715,18.7704
6418e18e6478f02040fa8ef0,Sobieszewo,54.3474,18.9168
6418e197e072f8594802960d,Sztutowo,54.351,19.1698
6418e19d93265bd465187563,Piaski,54.441,19.6022
584204204e65fad6a77095ba,Borsmose,55.673429,8.137993
584204204e65fad6a77095bd,Vejers Strand,55.62507,8.11191
584204204e65fad6a77095cc,Borkum,53.61083,6.68482
640b99ea8284fe6131b0c764,Billriff,53.668,6.877
584204204e65fad6a77095cd,Juist,53.68276,6.97083
584204204e65fad6a77095ce,Norderney,53.7245,7.19404
640b99d24878eb15f11d7772,Weisse Düne,53.7242,7.2058
640b99e4de81d5480e0d6d78,Nordstrand,53.7218,7.2721
584204204e65fad6a77095cb,Baltrum,53.7358,7.38144
584204204e65fad6a77095ca,Langeoog,53.75341,7.472157
640b99cbe92030f38ee0e85c,Spiekeroog,53.782,7.7223
584204204e65fad6a77095c8,Wangerooge,53.79589,7.8987
584204204e65fad6a77095c7,Heligoland,54.18936,7.878307
584204204e65fad6a77095c9,Sankt Peter-Ording,54.31315,8.57599
584204204e65fad6a77095c6,Westerland Sylt,54.910652,8.29521
640b9a724878eb6ede1d9e3f,Juvre,55.1833,8.5
640b99f1606c457157f3ba32,Fehmarn Altenteil,54.532011,11.07673
640b99fc8284fe1772b0cb15,Fehmarn Gold,54.426464,11.09861
640b99f6de81d557740d715f,Fehmarn Südstrand,54.410074,11.20668
640b99d84878eb22911d78f3,Binz / Rügen,54.4059,13.6073
640b99ddb6d7691212944848,Boddenstraße,54.3025,13.716
640b96b0de81d56ccc0cbb06,Kobbeduinen,53.5072,6.3094
640b96e1e920307fe7e04676,Oosterstrand,53.5067,6.2551
640b9680b6d76971c0938beb,Schiermonnikoog,53.5044,6.208
640b96e7de81d52aba0cc669,Westerstrand,53.477,6.1309
640b96a4606c4578b2f30337,Het Hen,53.4667,5.9333
640b9686e92030966be03143,Ameland,53.4597,5.7579
640b96f8e920302d9ce04b32,De Vliegende Hollander,53.418014,5.31342
584204204e65fad6a77095df,Terschelling,53.41507,5.304193
640b96f2b6d769045493a5b8,Prullies Left,53.308722,5.06769
640b968c8284fe3ba3b00b22,Vlieland,53.3075,5.0656
584204204e65fad6a77095e1,Vlieland,53.26436,4.94179
640b96748284fef566b00533,Waddeneilanden,53.2241,4.7461
584204204e65fad6a77095e0,Texel,53.13168,4.7807
640b96cf9b6fab2a0a2f0045,Strandslag Huisduinen,52.95,4.7167
640b96c28284fe4c52b0176d,Strandslag Falga,52.9176,4.7131
640b96aa4878eb905b1cc86b,Strandslag Zandloper,52.906,4.7114
584204204e65fad6a77095e2,Julianadorp,52.89523,4.71021
640b96c84878eb1e451cce8c,Strandslag Drooghe Weert,52.8846,4.7094
640b96bc606c453a5cf30806,Strandslag Groote Keeten,52.8667,4.7
640b96d48284fe2de2b01b70,Strandslag Voordijk,52.8509,4.6957
584204204e65fad6a77095e3,Callantsoog,52.83821,4.68687
640b96b6b6d769310393995b,Strandslag Abbestee,52.8321,4.6875
640b96db606c454994f30ecb,Sint Maartenszee,52.7966,4.6712
584204204e65fad6a77095e4,Petten,52.76852,4.65327
584204204e65fad6a77095e5,Camperduin,52.72711,4.63725
584204204e65fad6a77095e6,Hargen,52.715136,4.635194
584204204e65fad6a77095e7,Bergen aan Zee,52.660803,4.6239
584204204e65fad6a77095e8,Egmond aan Zee,52.62324,4.61565
584204204e65fad6a77095e9,Castricum aan Zee,52.557406,4.603792
584204204e65fad6a77095ea,Wijk Aan Zee/Noordpier,52.47256,4.55773
584204204e65fad6a77095eb,Zandvoort,52.37133,4.51953
584204204e65fad6a77095ec,Langevelderslag,52.30455,4.4737
